1;4;'CEPAI';'Centro Psíquico da Adolescência e Infância';'Centro Psíquico da Adolescência e Infância';'Belo Horizonte';'Capital';'Porte I';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
2;4;'CHPB';'Centro Hospitalar Psiquiátrico de Barbacena';'Centro Hospitalar Psiquiátrico de Barbacena';'Barbacena';'interior';'Porte II';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
3;4;'CMT';'Centro Mineiro de Toxicomania';'Centro Mineiro de Toxicomania';'Belo Horizonte';'Capital';'Porte I';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
4;3;'CSPD';'Casa de Saúde Padre Damião';'Casa de Saúde Padre Damião';'Ubá';'interior';'Porte I';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
5;3;'CSSFA';'Casa de Saúde São Francisco de Assis';'Casa de Saúde São Francisco de Assis';'Bambuí';'interior';'Porte I';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
6;3;'CSSFE';'Casa de Saúde Santa Fé';'Casa de Saúde Santa Fé';'Três Corações';'interior';'Porte I';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
7;3;'CSSI';'Casa de Saúde Santa Izabel';'Casa de Saúde Santa Izabel';'Betim';'interior';'Porte I';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
8;1;'HAC';'Hospital Alberto Cavalcanti';'Hospital Alberto Cavalcanti';'Belo Horizonte';'Capital';'Porte III';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
9;3;'HCM';'Hospital Cristiano Machado';'Hospital Cristiano Machado';'Sabará';'interior';'Porte I';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
10;2;'HEM';'Hospital Eduardo de Menezes';'Hospital Eduardo de Menezes';'Belo Horizonte';'Capital';'Porte II';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
11;4;'HGV';'Hospital Galba Velloso';'Hospital Galba Velloso';'Belo Horizonte';'Capital';'Porte II';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
12;5;'HIJPII';'Hospital Infantil João Paulo II';'Hospital Infantil João Paulo II';'Belo Horizonte';'Capital';'Porte III';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
13;1;'HJK';'Hospital Júlia Kubitschek';'Hospital Júlia Kubitschek';'Belo Horizonte';'Capital';'Porte IV';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
14;5;'HJXXIII';'Hospital João XXIII';'Hospital João XXIII';'Belo Horizonte';'Capital';'Porte IV';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
15;5;'HMAL';'Hospital Maria Amélia Lins';'Hospital João XXIII';'Belo Horizonte';'Capital';'Porte II';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
16;4;'IRS';'Instituto Raul Soares';'Instituto Raul Soares';'Belo Horizonte';'Capital';'Porte II';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
17;2;'HRAD';'Hospital Regional Antônio Dias';'Hospital Regional Antônio Dias';'Patos de Minas';'interior';'Porte III';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
18;2;'HRBJA';'Hospital Regional de Barbacena Doutor José Américo';'Hospital Regional de Barbacena Doutor José Américo';'Barbacena';'interior';'Porte II';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
19;2;'HRJP';'Hospital Regional João Penido';'Hospital Regional João Penido';'Juiz de Fora';'interior';'Porte III';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
20;2;'MOV';'Maternidade Odete Valadares';'Maternidade Odete Valadares';'Belo Horizonte';'Capital';'Porte IV';'2020-07-21 15:17:32.751309';'2020-07-21 15:17:32.751309'
